,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2020,MI,0,7,70000,EUR,79833,DE,0,DE,2
1,2020,SE,0,7,260000,USD,260000,JP,0,JP,1
2,2020,SE,0,5,85000,GBP,109024,GB,50,GB,1
3,2020,MI,0,0,20000,USD,20000,HN,0,HN,0
4,2020,SE,0,5,150000,USD,150000,US,50,US,2
5,2020,EN,0,0,72000,USD,72000,US,100,US,2
6,2020,SE,0,7,190000,USD,190000,US,100,US,0
7,2020,MI,0,7,11000000,HUF,35735,HU,50,HU,2
8,2020,MI,0,0,135000,USD,135000,US,100,US,2
9,2020,SE,0,5,125000,USD,125000,NZ,50,NZ,0
10,2020,EN,0,7,45000,EUR,51321,FR,0,FR,0
11,2020,MI,0,7,3000000,INR,40481,IN,0,IN,2
12,2020,EN,0,7,35000,EUR,39916,FR,0,FR,1
13,2020,MI,0,0,87000,USD,87000,US,100,US,2
14,2020,MI,0,0,85000,USD,85000,US,100,US,2
15,2020,MI,0,0,8000,USD,8000,PK,50,PK,2
16,2020,EN,0,5,4450000,JPY,41689,JP,100,JP,0
17,2020,SE,0,5,100000,EUR,114047,PL,100,GB,0
18,2020,EN,0,2,423000,INR,5707,IN,50,IN,1
19,2020,MI,0,5,56000,USD,56000,2,100,US,1
20,2020,MI,0,5,299000,CNY,43331,CN,0,CN,1
21,2020,MI,0,0,450000,INR,6072,IN,100,IN,2
22,2020,SE,0,5,42000,EUR,47899,GR,50,GR,2
23,2020,MI,0,0,98000,USD,98000,US,0,US,1
24,2020,MI,0,7,115000,USD,115000,AE,0,AE,2
25,2020,EX,0,7,325000,USD,325000,US,100,US,2
26,2020,EN,0,7,42000,USD,42000,NL,50,NL,2
27,2020,SE,0,5,720000,MXN,33511,MX,0,MX,0
28,2020,EN,1,0,100000,USD,100000,US,100,US,2
29,2020,SE,0,6,157000,CAD,117104,CA,50,CA,2
30,2020,MI,0,6,51999,EUR,59303,DE,100,DE,0
31,2020,EN,0,5,70000,USD,70000,US,100,US,2
32,2020,SE,0,7,60000,EUR,68428,GR,100,US,2
33,2020,MI,0,7,450000,USD,450000,US,0,US,1
34,2020,MI,0,0,41000,EUR,46759,FR,50,FR,2
35,2020,MI,0,5,65000,EUR,74130,AT,50,AT,2
36,2020,MI,0,2,103000,USD,103000,US,100,US,2
37,2020,EN,0,5,250000,USD,250000,US,50,US,2
38,2020,EN,0,0,10000,USD,10000,NG,100,NG,0
39,2020,EN,0,5,138000,USD,138000,US,100,US,0
40,2020,MI,0,7,45760,USD,45760,PH,100,US,0
41,2020,EX,0,6,70000,EUR,79833,ES,50,ES,2
42,2020,MI,0,5,44000,EUR,50180,2,0,2,1
43,2020,MI,0,5,106000,USD,106000,US,100,US,2
44,2020,MI,0,5,88000,GBP,112872,GB,50,GB,2
45,2020,EN,2,5,14000,EUR,15966,DE,100,DE,0
46,2020,MI,0,7,60000,GBP,76958,GB,100,GB,0
47,2020,SE,0,5,188000,USD,188000,US,100,US,2
48,2020,MI,0,7,105000,USD,105000,US,100,US,2
49,2020,MI,0,5,61500,EUR,70139,FR,50,FR,2
50,2020,EN,0,0,450000,INR,6072,IN,0,IN,0
51,2020,EN,0,0,91000,USD,91000,US,100,US,2
52,2020,EN,0,7,300000,DKK,45896,DK,50,DK,0
53,2020,EN,0,5,48000,EUR,54742,PK,100,DE,2
54,2020,SE,3,5,60000,USD,60000,RU,100,US,0
55,2020,SE,0,7,130000,EUR,148261,DE,100,DE,1
56,2020,MI,0,7,34000,EUR,38776,ES,100,ES,1
