"시점","시도별(1)",사업체수 (개),사업체수 (개),종사자수 (명),종사자수 (명),매출액 (백만원),매출액 (백만원)
"시점","시도별(1)",총계,총계,총계,총계,총계,총계
"시점","시도별(1)",숙박 및 음식점업(55~56),숙박 및 음식점업(55~56),숙박 및 음식점업(55~56),숙박 및 음식점업(55~56),숙박 및 음식점업(55~56),숙박 및 음식점업(55~56)
"시점","시도별(1)",소계,음식점 및 주점업,소계,음식점 및 주점업,소계,음식점 및 주점업
"시점","시도별(1)",소계,주점 및 비알코올 음료점업,소계,주점 및 비알코올 음료점업,소계,주점 및 비알코올 음료점업
"시점","시도별(1)",소계,비알코올 음료점업,소계,비알코올 음료점업,소계,비알코올 음료점업
"시점","시도별(1)",소계,커피 전문점,소계,커피 전문점,소계,커피 전문점
"2016","전국",729175,51551,2162823,152523,131802760,7131077
"2016","서울특별시",128199,13187,470397,45507,35302950,2629402
"2016","부산광역시",50578,3253,155207,10463,8381377,477764
"2016","대구광역시",33787,2697,96657,7970,4897477,310152
"2016","인천광역시",34301,2367,102169,6932,6501020,277072
"2016","광주광역시",19317,1731,58203,5435,3116190,220705
"2016","대전광역시",20495,1840,62009,5295,3443497,217817
"2016","울산광역시",18124,1047,50511,2907,2953875,121964
"2016","세종특별자치시",2726,231,8356,692,528854,40905
"2016","경기도",145544,11386,453998,32976,28767301,1488111
"2016","강원도",36978,1759,95219,4174,5065792,175699
"2016","충청북도",26377,1303,66986,3179,3667865,114275
"2016","충청남도",34582,1572,90185,4000,5276244,175075
"2016","전라북도",26268,1664,70556,4273,3640982,157081
"2016","전라남도",30763,1421,74441,3534,3789615,156728
"2016","경상북도",47424,2336,111419,5714,5707981,208571
"2016","경상남도",58145,2815,145843,7052,7395350,256734
"2016","제주특별자치도",15567,942,50667,2420,3366390,103022
"2017","전국",747577,56928,2214879,164512,141223113,7850364
"2017","서울특별시",130195,13662,474515,46712,37104272,2752770
"2017","부산광역시",51352,3596,157538,11285,9099654,521476
"2017","대구광역시",34435,2975,97198,8506,5195987,366286
"2017","인천광역시",35316,2743,104921,7674,7019759,322493
"2017","광주광역시",19896,1967,59712,5817,3350348,235877
"2017","대전광역시",20855,2062,63318,5654,3674906,245166
"2017","울산광역시",18522,1141,50623,2973,3084418,135169
"2017","세종특별자치시",3049,266,9354,764,613554,37383
"2017","경기도",149870,12524,471850,36334,31432063,1687082
"2017","강원도",38126,1981,99143,4694,5526984,191803
"2017","충청북도",26856,1490,68799,3511,3972751,131842
"2017","충청남도",35593,1869,93601,4759,5546862,204969
"2017","전라북도",26932,1886,72408,4652,3879182,176824
"2017","전라남도",31772,1663,77758,4069,4062844,156894
"2017","경상북도",48040,2692,112867,6328,6208252,247532
"2017","경상남도",59762,3282,147783,8019,7881569,300933
"2017","제주특별자치도",17006,1129,53491,2761,3569708,135865
"2018","전국",766315,66231,2326716,197088,151639425,9687014
"2018","서울특별시",130595,15056,495092,54003,39033462,3369322
"2018","부산광역시",52240,4190,162889,13391,9645890,622919
"2018","대구광역시",35154,3314,101342,9780,5498598,423246
"2018","인천광역시",36043,3238,111297,9436,7716452,429730
"2018","광주광역시",20044,2254,61476,6855,3554217,269001
"2018","대전광역시",21249,2416,65647,6727,3890425,301171
"2018","울산광역시",18901,1364,52625,3661,3207025,176083
"2018","세종특별자치시",3452,356,10997,1049,716544,43220
"2018","경기도",154477,14672,503155,44217,34121426,2055752
"2018","강원도",39186,2381,104485,5896,6111168,264293
"2018","충청북도",27909,1862,72992,4528,4471964,189862
"2018","충청남도",36804,2269,97680,5770,6074577,252108
"2018","전라북도",27692,2274,75417,5794,4135298,216069
"2018","전라남도",32584,1994,81035,4947,4874893,193143
"2018","경상북도",49681,3196,119131,7703,6684469,322546
"2018","경상남도",61806,3980,153097,9802,8175649,391701
"2018","제주특별자치도",18498,1415,58359,3529,3727368,166848
"2019","전국",785706,76145,2384828,224328,158565205,11067973
"2019","서울특별시",132475,16255,493912,57322,41408503,3762015
"2019","부산광역시",53391,4807,165099,15177,10136963,691498
"2019","대구광역시",35707,3707,101892,10451,5670893,472867
"2019","인천광역시",37321,3728,114801,11022,7919155,480350
"2019","광주광역시",20742,2662,64721,8031,3858338,338087
"2019","대전광역시",21767,2787,66300,7631,4015387,324636
"2019","울산광역시",19377,1599,53360,4275,3253061,184542
"2019","세종특별자치시",3849,490,12190,1461,771392,62865
"2019","경기도",160465,16951,518752,51271,35982525,2397578
"2019","강원도",39817,2883,108569,7223,6286408,330326
"2019","충청북도",28650,2256,76781,5562,4637590,217740
"2019","충청남도",37500,2710,102408,7060,6226229,355495
"2019","전라북도",28331,2645,78756,6800,4327544,245077
"2019","전라남도",33360,2508,85101,6135,4567736,222216
"2019","경상북도",50490,3755,122692,8996,7349795,347233
"2019","경상남도",62642,4696,158258,11583,8237609,426598
"2019","제주특별자치도",19822,1706,61236,4328,3916077,208850
