연도,시도,구분,심한장애(남),심한장애(여),심한장애(계),심하지 않은 장애(남),심하지 않은 장애(여),심하지 않은 장애(계),합계(남),합계(여),합계(계)
연도,시도,구분,416295 ,283103 ,699398 ,657149 ,495782 ,1152930 ,1073443 ,778885 ,1852328 
2019 ,소계,지체,158257 ,82524 ,240781 ,549989 ,432365 ,982354 ,708246 ,514889 ,1223135 
2019 ,서울특별시,지체,21750 ,12109 ,33859 ,77860 ,65048 ,142908 ,99610 ,77157 ,176767 
2019 ,부산광역시,지체,11060 ,5290 ,16350 ,36416 ,27094 ,63510 ,47476 ,32384 ,79860 
2019 ,대구광역시,지체,6801 ,3507 ,10308 ,24892 ,17482 ,42374 ,31693 ,20989 ,52682 
2019 ,인천광역시,지체,9514 ,4415 ,13929 ,33278 ,22171 ,55449 ,42792 ,26586 ,69378 
2019 ,광주광역시,지체,3740 ,2149 ,5889 ,13339 ,11303 ,24642 ,17079 ,13452 ,30531 
2019 ,대전광역시,지체,4381 ,2135 ,6516 ,15301 ,11376 ,26677 ,19682 ,13511 ,33193 
2019 ,울산광역시,지체,2937 ,1451 ,4388 ,11875 ,7525 ,19400 ,14812 ,8976 ,23788 
2019 ,세종특별자치시,지체,768 ,400 ,1168 ,2717 ,1883 ,4600 ,3485 ,2283 ,5768 
2019 ,제주특별자치도,지체,1900 ,1144 ,3044 ,6167 ,5332 ,11499 ,8067 ,6476 ,14543 
2019 ,소계,시각,24643 ,23977 ,48620 ,125618 ,78817 ,204435 ,150261 ,102794 ,253055 
2019 ,서울특별시,시각,4961 ,4176 ,9137 ,20238 ,12457 ,32695 ,25199 ,16633 ,41832 
2019 ,부산광역시,시각,1742 ,1686 ,3428 ,9006 ,5623 ,14629 ,10748 ,7309 ,18057 
2019 ,대구광역시,시각,1149 ,1084 ,2233 ,6014 ,3788 ,9802 ,7163 ,4872 ,12035 
2019 ,인천광역시,시각,1359 ,1254 ,2613 ,6927 ,4214 ,11141 ,8286 ,5468 ,13754 
2019 ,광주광역시,시각,738 ,671 ,1409 ,3573 ,2356 ,5929 ,4311 ,3027 ,7338 
2019 ,대전광역시,시각,733 ,641 ,1374 ,3462 ,2199 ,5661 ,4195 ,2840 ,7035 
2019 ,울산광역시,시각,446 ,492 ,938 ,2440 ,1525 ,3965 ,2886 ,2017 ,4903 
2019 ,세종특별자치시,시각,90 ,83 ,173 ,645 ,364 ,1009 ,735 ,447 ,1182 
2019 ,제주특별자치도,시각,387 ,475 ,862 ,1966 ,1365 ,3331 ,2353 ,1840 ,4193 
2019 ,소계,청각,50462 ,44273 ,94735 ,148612 ,133747 ,282359 ,199074 ,178020 ,377094 
2019 ,서울특별시,청각,7361 ,6262 ,13623 ,22930 ,18387 ,41317 ,30291 ,24649 ,54940 
2019 ,부산광역시,청각,3020 ,2467 ,5487 ,9503 ,7754 ,17257 ,12523 ,10221 ,22744 
2019 ,대구광역시,청각,2350 ,2143 ,4493 ,9012 ,8864 ,17876 ,11362 ,11007 ,22369 
2019 ,인천광역시,청각,2810 ,2462 ,5272 ,8735 ,7429 ,16164 ,11545 ,9891 ,21436 
2019 ,광주광역시,청각,1417 ,1321 ,2738 ,3903 ,3495 ,7398 ,5320 ,4816 ,10136 
2019 ,대전광역시,청각,1187 ,1098 ,2285 ,4146 ,3646 ,7792 ,5333 ,4744 ,10077 
2019 ,울산광역시,청각,1291 ,837 ,2128 ,3113 ,2370 ,5483 ,4404 ,3207 ,7611 
2019 ,세종특별자치시,청각,218 ,211 ,429 ,623 ,578 ,1201 ,841 ,789 ,1630 
2019 ,제주특별자치도,청각,693 ,760 ,1453 ,2189 ,2590 ,4779 ,2882 ,3350 ,6232 
2019 ,소계,언어,7851 ,3098 ,10949 ,7512 ,3024 ,10536 ,15363 ,6122 ,21485 
2019 ,서울특별시,언어,1216 ,448 ,1664 ,1183 ,480 ,1663 ,2399 ,928 ,3327 
2019 ,부산광역시,언어,549 ,215 ,764 ,504 ,200 ,704 ,1053 ,415 ,1468 
2019 ,대구광역시,언어,407 ,146 ,553 ,358 ,146 ,504 ,765 ,292 ,1057 
2019 ,인천광역시,언어,501 ,182 ,683 ,535 ,196 ,731 ,1036 ,378 ,1414 
2019 ,광주광역시,언어,216 ,83 ,299 ,202 ,64 ,266 ,418 ,147 ,565 
2019 ,대전광역시,언어,222 ,101 ,323 ,173 ,72 ,245 ,395 ,173 ,568 
2019 ,울산광역시,언어,146 ,64 ,210 ,137 ,69 ,206 ,283 ,133 ,416 
2019 ,세종특별자치시,언어,29 ,8 ,37 ,45 ,11 ,56 ,74 ,19 ,93 
2019 ,제주특별자치도,언어,144 ,53 ,197 ,140 ,60 ,200 ,284 ,113 ,397 
2019 ,소계,지적,128332 ,84604 ,212936 ,0 ,0 ,0 ,128332 ,84604 ,212936 
2019 ,서울특별시,지적,16420 ,10358 ,26778 ,0 ,0 ,0 ,16420 ,10358 ,26778 
2019 ,부산광역시,지적,7209 ,4644 ,11853 ,0 ,0 ,0 ,7209 ,4644 ,11853 
2019 ,대구광역시,지적,6119 ,4008 ,10127 ,0 ,0 ,0 ,6119 ,4008 ,10127 
2019 ,인천광역시,지적,6385 ,4136 ,10521 ,0 ,0 ,0 ,6385 ,4136 ,10521 
2019 ,광주광역시,지적,4039 ,2892 ,6931 ,0 ,0 ,0 ,4039 ,2892 ,6931 
2019 ,대전광역시,지적,3846 ,2685 ,6531 ,0 ,0 ,0 ,3846 ,2685 ,6531 
2019 ,울산광역시,지적,2602 ,1695 ,4297 ,0 ,0 ,0 ,2602 ,1695 ,4297 
2019 ,세종특별자치시,지적,668 ,394 ,1062 ,0 ,0 ,0 ,668 ,394 ,1062 
2019 ,제주특별자치도,지적,1891 ,1420 ,3311 ,0 ,0 ,0 ,1891 ,1420 ,3311 
2019 ,소계,뇌병변,84042 ,71250 ,155292 ,60575 ,36321 ,96896 ,144617 ,107571 ,252188 
2019 ,서울특별시,뇌병변,14261 ,11224 ,25485 ,10270 ,5549 ,15819 ,24531 ,16773 ,41304 
2019 ,부산광역시,뇌병변,6826 ,5357 ,12183 ,4843 ,2888 ,7731 ,11669 ,8245 ,19914 
2019 ,대구광역시,뇌병변,4274 ,3506 ,7780 ,3300 ,1835 ,5135 ,7574 ,5341 ,12915 
2019 ,인천광역시,뇌병변,4486 ,3704 ,8190 ,3176 ,1879 ,5055 ,7662 ,5583 ,13245 
2019 ,광주광역시,뇌병변,2264 ,1999 ,4263 ,1636 ,1033 ,2669 ,3900 ,3032 ,6932 
2019 ,대전광역시,뇌병변,2462 ,2238 ,4700 ,1677 ,1061 ,2738 ,4139 ,3299 ,7438 
2019 ,울산광역시,뇌병변,1686 ,1414 ,3100 ,1068 ,706 ,1774 ,2754 ,2120 ,4874 
2019 ,세종특별자치시,뇌병변,366 ,318 ,684 ,242 ,141 ,383 ,608 ,459 ,1067 
2019 ,제주특별자치도,뇌병변,1119 ,993 ,2112 ,833 ,580 ,1413 ,1952 ,1573 ,3525 
2019 ,소계,자폐성,24234 ,4444 ,28678 ,0 ,0 ,0 ,24234 ,4444 ,28678 
2019 ,서울특별시,자폐성,5174 ,926 ,6100 ,0 ,0 ,0 ,5174 ,926 ,6100 
2019 ,부산광역시,자폐성,1615 ,311 ,1926 ,0 ,0 ,0 ,1615 ,311 ,1926 
2019 ,대구광역시,자폐성,999 ,189 ,1188 ,0 ,0 ,0 ,999 ,189 ,1188 
2019 ,인천광역시,자폐성,1264 ,249 ,1513 ,0 ,0 ,0 ,1264 ,249 ,1513 
2019 ,광주광역시,자폐성,665 ,151 ,816 ,0 ,0 ,0 ,665 ,151 ,816 
2019 ,대전광역시,자폐성,863 ,165 ,1028 ,0 ,0 ,0 ,863 ,165 ,1028 
