연도,나이,심한장애(남),심한장애(여),심한장애(계),심하지 않은 장애(남),심하지 않은 장애(여),심하지 않은 장애(계),합계(남),합계(여),합계(계)
2019,합계,585734,399669,985403,927472,706043,1633515,1513206,1105712,2618918
2019,0,7,17,24,13,6,19,20,23,43
2019,1,191,174,365,70,48,118,261,222,483
2019,2,438,356,794,136,84,220,574,440,1014
2019,3,769,524,1293,249,179,428,1018,703,1721
2019,4,1417,764,2181,471,246,717,1888,1010,2898
2019,5,1859,883,2742,512,266,778,2371,1149,3520
2019,6,2642,1165,3807,557,294,851,3199,1459,4658
2019,7,3293,1482,4775,507,290,797,3800,1772,5572
2019,8,3516,1531,5047,443,283,726,3959,1814,5773
2019,9,3310,1503,4813,398,227,625,3708,1730,5438
2019,10,2979,1386,4365,328,195,523,3307,1581,4888
2019,11,2992,1433,4425,316,210,526,3308,1643,4951
2019,12,3216,1529,4745,368,294,662,3584,1823,5407
2019,13,2830,1426,4256,298,235,533,3128,1661,4789
2019,14,2888,1483,4371,292,227,519,3180,1710,4890
2019,15,3206,1641,4847,361,300,661,3567,1941,5508
2019,16,3444,1944,5388,419,320,739,3863,2264,6127
2019,17,3791,1995,5786,520,376,896,4311,2371,6682
2019,18,4143,2271,6414,622,412,1034,4765,2683,7448
2019,19,4920,2744,7664,741,553,1294,5661,3297,8958
2019,20,5109,2652,7761,828,472,1300,5937,3124,9061
2019,21,5375,2723,8098,862,553,1415,6237,3276,9513
2019,22,4924,2862,7786,929,545,1474,5853,3407,9260
2019,23,5235,2797,8032,1008,590,1598,6243,3387,9630
2019,24,5358,2790,8148,1134,651,1785,6492,3441,9933
2019,25,5319,2802,8121,1214,661,1875,6533,3463,9996
2019,26,5051,2649,7700,1362,712,2074,6413,3361,9774
2019,27,5020,2767,7787,1507,735,2242,6527,3502,10029
2019,28,4902,2613,7515,1651,750,2401,6553,3363,9916
2019,29,4556,2299,6855,1707,732,2439,6263,3031,9294
2019,30,4388,2431,6819,1925,769,2694,6313,3200,9513
2019,31,4333,2468,6801,2220,831,3051,6553,3299,9852
2019,32,4136,2426,6562,2422,884,3306,6558,3310,9868
