,Title,Date
0,"cnk 방패 아령 3,5,7,8 kg 한쌍 팝니다.",10:34
1,고정식아령 / 우레탄아령 / 6각 아령 / 12각 아령 / 중고 아령 / 신품 아령,09:11
2,cnk 홈짐,00:44
3,"우레탄 중량원판(에프몬스터, 캡틴아메리카) (부산 해운대 기장 직거래)(1차 할인)",2022.07.26.
4,아령,2022.07.26.
5,가성비 홈짐. 와이드 미니랙 세트 (렛타워 + 벤치 + 중량봉 포함) 분해완료,2022.07.26.
6,"아이언렉스(하프랙, 각도조절벤치) 팝니다",2022.07.26.
7,더스크랙 더스크제로 우레탄 원판 87.5kg 판매합니다,2022.07.26.
8,"디랙스 백익스텐션, 디랙스 로터리 토르소 판매합니다.",2022.07.26.
9,"덤벨, 경량원판, 조립식 덤벨 판매합니다.",2022.07.26.
10,"짱짱랙,중량봉,원판,벤치,덤벨",2022.07.26.
11,덤벨정리대 및 덤벨 세트(신품 아미코스 kg당 4천원),2022.07.26.
12,원판정리대 및 원판 세트(신품 아미코스 kg당 4천원),2022.07.26.
13,구형 파워텍 레버리지짐 팝니다,2022.07.25.
14,고무 원판 바벨 헬스,2022.07.25.
15,[가격내림]이고진 마에스트로 V6 정리 합니다.,2022.07.25.
16,"클럽벨 2,4,6 kg",2022.07.25.
17,"홈짐 정리합니다(로버스트 원판, 알통 스쿼트랙, 우레탄, cnk, 바벨)",2022.07.24.
18,에프몬스터 퀵블럭랙 하프렉 하프랙 원판 바벨,2022.07.23.
19,덤벨 (아이언불) kg 2000원 팝니다,2022.07.23.
20,바디엑스 파워렉 홈짐 세트 판매합니다,2022.07.21.
21,크롬 경량 바벨 덤벨 원판 5kg 8개,2022.07.21.
22,아이핏펀 덤벨 급처합니다,2022.07.21.
23,"홈짐 용품 팝니다(우레탄 원판, 시나브로 파워리프팅 바벨 2m)",2022.07.21.
24,홈짐 일괄 판매합니다 sm-8000외 다수 (구매가 대비 44%),2022.07.20.
25,cnk 마테라 원판,2022.07.19.
26,홈짐 스쿼트렉 원판 100 kg,2022.07.19.
