업종,구분,2016,2017,2018,2019,2020
여행업,사업체 수,16605,19944,19039,18223,16660
여행업,종사자 수,98421,107209,99077,103311,61784
여행업,매출액(억원),76427,81134,84622,86271,4354
관광숙박업,사업체 수,1716,1843,2110,2218,2223
관광숙박업,종사자 수,73631,71769,69926,70658,49930
관광숙박업,매출액(억원),82683,84112,76644,83628,39613
관광객 이용시설업,사업체 수,3168,3963,4323,4657,6079
관광객 이용시설업,종사자 수,17421,25535,23154,23863,19752
관광객 이용시설업,매출액(억원),8852,11039,10207,10837,6515
국제회의업,사업체 수,700,890,886,1040,1110
국제회의업,종사자 수,12596,14457,9100,10235,8383
국제회의업,매출액(억원),18377,17715,13033,15273,3837
카지노업,사업체 수,17,17,17,17,17
카지노업,종사자 수,9115,7033,7330,7097,7105
카지노업,매출액(억원),29033,27303,30254,29121,10413
유원시설업,사업체 수,1782,2548,3000,2981,2689
유원시설업,종사자 수,23683,27561,26189,24811,18124
유원시설업,매출액(억원),19292,20333,19709,21337,5569
관광편의시설업,사업체 수,3708,3884,4077,4189,3237
관광편의시설업,종사자 수,27110,28998,32785,35644,26446
관광편의시설업,매출액(억원),15696,18893,19822,21487,11723
전체 합계,종사자 수,261978,282561,267561,275619,191524
전체 합계,사업체 수,27696,33089,33452,33325,32015
전체 합계,매출액(억원),250360,260529,254291,267954,82024
