work_year,experience_level,employment_type,job_title,salary,salary_currency,employee_residence,remote_ratio,company_location,company_size,salary_in_usd
2020,MI,FT,Scientist,70000,EUR,DE,0,DE,L,79833
2020,SE,FT,Scientist,260000,USD,JP,0,JP,S,260000
2020,SE,FT,Engineer,85000,GBP,GB,50,GB,M,109024
2020,MI,FT,Analyst,20000,USD,HN,0,HN,S,20000
2020,SE,FT,Engineer,150000,USD,US,50,US,L,150000
2020,EN,FT,Analyst,72000,USD,US,100,US,L,72000
2020,SE,FT,Scientist,190000,USD,US,100,US,S,190000
2020,MI,FT,Scientist,11000000,HUF,HU,50,HU,L,35735
2020,MI,FT,Analyst,135000,USD,US,100,US,L,135000
2020,SE,FT,Engineer,125000,USD,NZ,50,NZ,S,125000
2020,EN,FT,Scientist,45000,EUR,FR,0,FR,S,51321
2020,MI,FT,Scientist,3000000,INR,IN,0,IN,L,40481
2020,EN,FT,Scientist,35000,EUR,FR,0,FR,M,39916
2020,MI,FT,Analyst,87000,USD,US,100,US,L,87000
2020,MI,FT,Analyst,85000,USD,US,100,US,L,85000
2020,MI,FT,Analyst,8000,USD,PK,50,PK,L,8000
2020,EN,FT,Engineer,4450000,JPY,JP,100,JP,S,41689
2020,SE,FT,Engineer,100000,EUR,PL,100,GB,S,114047
2020,EN,FT,Consultant,423000,INR,IN,50,IN,M,5707
2020,MI,FT,Engineer,56000,USD,PT,100,US,M,56000
2020,MI,FT,Engineer,299000,CNY,CN,0,CN,M,43331
2020,MI,FT,Analyst,450000,INR,IN,100,IN,L,6072
2020,SE,FT,Engineer,42000,EUR,GR,50,GR,L,47899
2020,MI,FT,Analyst,98000,USD,US,0,US,M,98000
2020,MI,FT,Scientist,115000,USD,AE,0,AE,L,115000
2020,EX,FT,Scientist,325000,USD,US,100,US,L,325000
2020,EN,FT,Scientist,42000,USD,NL,50,NL,L,42000
2020,SE,FT,Engineer,720000,MXN,MX,0,MX,S,33511
2020,EN,CT,Analyst,100000,USD,US,100,US,L,100000
2020,SE,FT,Manager,157000,CAD,CA,50,CA,L,117104
2020,MI,FT,Engineer,51999,EUR,DE,100,DE,S,59303
2020,EN,FT,Engineer,70000,USD,US,100,US,L,70000
2020,SE,FT,Scientist,60000,EUR,GR,100,US,L,68428
2020,MI,FT,Scientist,450000,USD,US,0,US,M,450000
2020,MI,FT,Analyst,41000,EUR,FR,50,FR,L,46759
2020,MI,FT,Engineer,65000,EUR,AT,50,AT,L,74130
2020,MI,FT,Consultant,103000,USD,US,100,US,L,103000
2020,EN,FT,Engineer,250000,USD,US,50,US,L,250000
2020,EN,FT,Analyst,10000,USD,NG,100,NG,S,10000
2020,EN,FT,Engineer,138000,USD,US,100,US,S,138000
2020,MI,FT,Scientist,45760,USD,PH,100,US,S,45760
2020,EX,FT,Engineer,70000,EUR,ES,50,ES,L,79833
2020,MI,FT,Engineer,44000,EUR,PT,0,PT,M,50180
2020,MI,FT,Engineer,106000,USD,US,100,US,L,106000
